relative_path,group,status,error,n_samples,duration_s,sampling_rate_hz,raw_frequency_hz,raw_peak_amplitude,processed_frequency_hz,processed_peak_amplitude
Dataset_sensor/vibracao2/dados_04.csv,Dataset_sensor/vibracao2,ok,,13699,21.062148,652.7415143606539,11.245127190971187,1.167954461361325,11.215128059919278,1.2480237136305548
Dataset_sensor/vibracao2/dados_05.csv,Dataset_sensor/vibracao2,ok,,16824,25.813056,652.7415143614107,11.173891829296617,0.6628950352320337,11.154609714660216,0.6888597575904185
Dataset_sensor/vibracao2/dados_06.csv,Dataset_sensor/vibracao2,ok,,12268,18.891504,652.7415143606539,11.279850101439406,1.4902755129698104,11.288811050605297,1.5924974692219178
Dataset_sensor/vibracao2/dados_07.csv,Dataset_sensor/vibracao2,ok,,15185,23.323404,652.7415143614107,11.219330605750953,0.8940872778044635,11.231332691318887,0.9815583502745653
Dataset_sensor/vibracao2/dados_08.csv,Dataset_sensor/vibracao2,ok,,15344,23.562256,652.7415143614107,11.188152911695191,0.7754064808181905,11.214280254437181,0.894265375617303
Dataset_sensor/vibracao2/dados_09.csv,Dataset_sensor/vibracao2,ok,,16570,25.47722,652.7415143614107,11.266389445224108,1.0401469375120576,11.278471090477938,1.167532143804257
Dataset_sensor/vibracao2/dados_10.csv,Dataset_sensor/vibracao2,ok,,20958,32.103396,652.7415143614107,11.056552991616604,0.20263043452868146,11.061624238193264,0.22890047890237164
Dataset_sensor/vibracao2/dados_11.csv,Dataset_sensor/vibracao2,ok,,19113,29.2893,652.7415143614107,11.099303728742662,0.24276791312096793,11.107638835067405,0.26434987536127813
Dataset_sensor/vibracao2/dados_12.csv,Dataset_sensor/vibracao2,ok,,17502,26.948232,652.7415143614107,11.30046159590375,1.2022923248600277,11.291413194161668,1.2842462039172244
Dataset_sensor/vibracao2/dados_13.csv,Dataset_sensor/vibracao2,ok,,18490,28.48044,652.7415143614107,11.22616557960674,0.9295629289511769,11.256030093448302,1.415789509253005
Dataset_sensor/vibracao2/dados_14.csv,Dataset_sensor/vibracao2,ok,,17174,26.423864,652.7415143614107,11.250232226096285,1.0090803529122176,11.247425468671771,1.1294163648595255
Dataset_sensor/vibracao2/dados_15.csv,Dataset_sensor/vibracao2,ok,,16041,24.814048,652.7415143606539,11.271703726569486,1.2162107851283381,11.257809114074435,1.5176833177727886
Dataset_sensor/vibracao2/dados_16.csv,Dataset_sensor/vibracao2,ok,,16950,26.101204,652.7415143606539,11.283378389833132,1.134324572564185,11.291490070880792,1.2283657548368538
Dataset_sensor/vibracao2/dados_17.csv,Dataset_sensor/vibracao2,ok,,15355,23.67114,652.7415143606539,11.265158014039288,1.278509393063499,11.2717586689624,1.387917833956218
Dataset_sensor/vibracao2/dados_18.csv,Dataset_sensor/vibracao2,ok,,15265,23.529532,652.7415143606539,11.288814922450877,1.2257004687762068,11.258347433785392,1.3424868823596308
Dataset_sensor/vibracao2/dados_19.csv,Dataset_sensor/vibracao2,ok,,18473,28.471856,652.7415143614107,11.307166383134923,1.224736484229086,11.293903320518758,1.27935311019599
Dataset_sensor/vibracao2/dados_20.csv,Dataset_sensor/vibracao2,ok,,19113,29.457256,652.7415143614107,11.304213951427142,1.1767104772687933,11.311071068702363,1.2590976479281002
Dataset_sensor/vibracao2/dados_21.csv,Dataset_sensor/vibracao2,ok,,11720,18.16076,652.7415143604646,11.25032302907968,0.8298592750442864,11.274626157132031,0.9842660790592233
Dataset_sensor/vibracao2/dados_22.csv,Dataset_sensor/vibracao2,ok,,11736,18.235988,652.7415143602755,11.290603903811855,0.9773959255791237,11.251769028129882,1.1222086288149002
Dataset_sensor/vibracao2/dados_23.csv,Dataset_sensor/vibracao2,ok,,17625,27.682204,652.741514359897,11.295668759135808,0.7188271330852603,10.738752386505109,0.8277617033782342
Dataset_sensor/vibracao2/dados_24.csv,Dataset_sensor/vibracao2,ok,,14891,23.381036,652.741514359897,11.309335216228154,1.666416535059039,11.318131157690136,1.7583959069219333
Dataset_sensor/vibracao2/dados_25.csv,Dataset_sensor/vibracao2,ok,,17937,28.569436,618.8118811886903,10.729246532289832,0.8485365488498287,10.73196162592457,0.9460492761071744
Dataset_sensor/vibracao2/dados_26.csv,Dataset_sensor/vibracao2,ok,,16798,27.38598,618.8118811880952,11.30939680466396,1.3351512454862915,11.300405647037932,1.4818005335591589
Dataset_sensor/vibracao2/dados_27.csv,Dataset_sensor/vibracao2,ok,,11276,18.429616,618.8118811880101,11.250127318512067,1.4682122629952044,11.278138618181567,1.8482563703141994
Dataset_sensor/vibracao2/dados_28.csv,Dataset_sensor/vibracao2,ok,,12264,20.10998,618.8118811880101,11.302500113023015,1.8600391374445848,11.317977958781727,2.089339666992735
Dataset_sensor/vibracao2/dados_29.csv,Dataset_sensor/vibracao2,ok,,10954,17.986512,618.8118811880101,11.298372853533142,2.0666468211437103,11.297914455202536,2.261448886629503
Dataset_sensor/vibracao2/dados_30.csv,Dataset_sensor/vibracao2,ok,,13271,21.829784,618.8118811880101,11.330818109312519,1.7636289849605533,11.341809901425382,2.5670239821493284
Dataset_sensor/vibracao2/dados_31.csv,Dataset_sensor/vibracao2,ok,,14887,24.472776,618.8118811880101,11.306296210327046,1.6055851070276783,11.336345894583944,2.081075321687507
Dataset_sensor/vibracao2/dados_32.csv,Dataset_sensor/vibracao2,ok,,12868,21.117144,618.8118811880101,11.349052219487907,1.8632787049359116,11.333761676649125,2.2017323630407097
Dataset_sensor/vibracao2/dados_33.csv,Dataset_sensor/vibracao2,ok,,13046,21.439976,618.8118811880101,11.289071571573388,1.5413037227562938,11.306823751680112,1.7390365486184494
Dataset_sensor/vibracao2/dados_34.csv,Dataset_sensor/vibracao2,ok,,12308,20.16744,618.8118811880101,11.312371893670969,1.8535464945331521,11.291103181189085,2.1164870424366584
Dataset_sensor/vibracao2/dados_35.csv,Dataset_sensor/vibracao2,ok,,10783,17.70924,618.8118811880101,11.36277033063396,2.0828818287538353,11.360201614218832,2.353535255673272
Dataset_sensor/vibracao2/dados_36.csv,Dataset_sensor/vibracao2,ok,,11846,19.449104,618.8118811880101,11.335655767161759,1.995257653665571,11.296650508184243,2.146407130730911
Dataset_sensor/vibracao2/dados_37.csv,Dataset_sensor/vibracao2,ok,,13239,21.81508,618.8118811880101,11.311464253153444,1.8437342002411892,11.308736594489034,2.124585097638395
Dataset_sensor/vibracao2/dados_38.csv,Dataset_sensor/vibracao2,ok,,13252,22.14794,588.2352941177887,10.78638518492474,1.855961975759639,10.743797561111029,2.041349990577226
Dataset_sensor/vibracao2/dados_39.csv,Dataset_sensor/vibracao2,ok,,13623,22.47128,618.8118811880101,11.310589328034538,1.578135575596258,11.266411967281705,1.9018381790427137
Dataset_sensor/vibracao2/forcado/dados_calibrados_01.csv,Dataset_sensor/vibracao2/forcado,ok,,34702,34.701,999.9999999999991,10.719843236701044,0.2294666486192588,10.719754977015995,0.19714695228325912
Dataset_sensor/vibracao2/forcado/dados_calibrados_02.csv,Dataset_sensor/vibracao2/forcado,ok,,35574,35.573,999.9999999999991,59.98763141620279,0.02469274618123714,59.84251968517884,0.033082227339954494
Dataset_sensor/vibracao2/forcado/dados_calibrados_03.csv,Dataset_sensor/vibracao2/forcado,ok,,36705,36.704,999.9999999999991,59.991826726603946,0.02294069680990087,60.156571899604565,0.026199677147155858
Dataset_sensor/vibracao2/forcado/dados_calibrados_04.csv,Dataset_sensor/vibracao2/forcado,ok,,22903,22.902,999.9999999999991,59.992140767584985,0.029516004482204372,59.96483001175657,0.022290637513022144
Dataset_sensor/vibracao2/forcado/dados_calibrados_07.csv,Dataset_sensor/vibracao2/forcado,ok,,141211,141.21,999.9999999987779,10.742789159471613,0.038135855777207746,10.728465389211676,0.04119534211146572
Dataset_sensor/vibracao2/forcado/dados_calibrados_08.csv,Dataset_sensor/vibracao2/forcado,ok,,10654,10.653,1000.000000000006,59.97747324948412,0.026565336440823057,59.97355496789478,0.024775627217654538
df.csv,.,error,"No matching column found. Available columns: ['Time', 'Rge', 'Theta', 'Phi0', 'Vrad', 'Theta_rad', 'Phi0_rad']",,,,,,,
df_clean.csv,.,error,"No matching column found. Available columns: ['Rge', 'Theta', 'Phi0', 'Vrad', 'Theta_rad', 'Phi0_rad']",,,,,,,
df_full.csv,.,error,"No matching column found. Available columns: ['Date', 'Time', 'File', 'Rge', 'Ht', 'Vrad', 'delVr', 'Theta', 'Phi0', 'Ambig', 'Delphase', 'ant', 'pair', 'IREX', 'amax', 'Tau', 'vmet', 'snrdb']",,,,,,,
inox/dados/dados_calibrados_11.csv,inox/dados,ok,,119398,119.397,999.9999999987779,4.949831655465567,1.7494867570421564,4.953233865245238,1.8053927589004986
inox/dados/dados_calibrados_12.csv,inox/dados,ok,,120651,120.65,999.9999999987779,4.964732990188792,1.8717445024164787,4.96395625618829,1.8454845827524518
inox/dados/dados_calibrados_13.csv,inox/dados,ok,,120690,120.689,999.9999999987779,4.979700057993749,1.448566659471673,4.986789679802929,1.5414720830619955
inox/dados/dados_calibrados_14.csv,inox/dados,ok,,119628,119.627,999.9999999987779,4.982111211415986,1.483122470356319,4.9856200595802465,1.576213276319953
inox/dados/dados_calibrados_15.csv,inox/dados,ok,,123475,123.474,999.9999999987779,4.980765337106689,1.4859677544322665,4.9865964849322655,1.53015794581631
inox/dados/dados_calibrados_16.csv,inox/dados,ok,,120708,120.707,999.9999999987779,4.9872419392191425,1.4885468795079462,4.986854380458007,1.554640485307673
